,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
43,Roka,1616 South Utica Ave,74104,129,4,Cherry Street,NA,$11-30,Yes,Yes,Yes,Yes,Yes,No,Private Lot,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,No,Free,Yes,No,Yes,Yes,Asian Fusion; ,NA,NA,NA,NA,"Lunch, Dinner","Casual, Intimate, Romantic, Classy",NA
44,Caribbean Sushi,3708 S Elm Pl,74011,36,4.5,South Tulsa,NA,$11-30,NA,Yes,No,Yes,Yes,No,Private Lot,Yes,Yes,Yes,Yes,Casual,NA,Beer & Wine Only,NA,No,Free,Yes,No,Yes,No,Sushi Bars; Asian Fusion; Caribbean; ,NA,NA,NA,NA,Lunch,NA,NA
45,Osaka,11016 E 81st St,74133,98,3,Midtown,NA,$11-30,Yes,Yes,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Loud,Full Bar,NA,No,No,Yes,NA,NA,No,Japanese; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
46,Yutaka Grill & Sushi Buffet,6560 E 51st StFarm Shopping Center,74145,94,3.5,South Tulsa,NA,$11-30,Yes,Yes,No,Yes,Yes,NA,Private Lot,Yes,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,Yes,NA,Yes,Yes,Japanese; Asian Fusion; Buffets; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,NA
47,Sushi Hana,9904 Riverside Pkwy,74137,98,4.5,Midtown,NA,$11-30,NA,Yes,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,Yes,No,Yes,NA,NA,No,Japanese; Seafood; Sushi Bars; ,NA,NA,NA,NA,"Lunch, Dinner",Classy,NA
48,Roppongi,601 S Boston Ave,74119,77,4,Downtown,NA,$11-30,Yes,No,No,Yes,Yes,No,Street,No,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,NA,Yes,Free,No,No,No,Yes,Ramen; Bubble Tea; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,Yes
49,Sake 2 Me Sushi,9205 E 71st St,74133,125,4.5,East Tulsa,NA,$11-30,NA,Yes,No,Yes,Yes,NA,Private Lot,No,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,Yes,NA,Yes,No,Sushi Bars; Japanese; Salad; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
50,Aromas of Asia,3530 S Sheridan Rd,74145,6,3,Midtown,NA,NA,NA,No,Yes,Yes,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,Japanese; Thai; Chinese; ,NA,NA,NA,NA,NA,NA,NA
51,Yokozuna Yale,9146 S YaleSte 100,74137,113,3.5,South Tulsa,NA,$11-30,NA,Yes,Yes,Yes,Yes,No,Private Lot,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,NA,Yes,Yes,Sushi Bars; Japanese; Asian Fusion; ,NA,NA,NA,NA,"Brunch, Lunch, Dinner","Casual, Trendy",NA
52,Kofu Sushi And Hibachi,813 W Kenosha St,74012,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars; Japanese; ,NA,NA,NA,NA,NA,NA,NA
53,Fuji Sushi Bar,8226 E 71st St,74133,71,3.5,Midtown,NA,$11-30,NA,Yes,Yes,Yes,Yes,NA,Private Lot,No,Yes,Yes,Yes,Casual,Average,Full Bar,No,No,No,Yes,NA,Yes,Yes,Sushi Bars; Japanese; Asian Fusion; ,NA,NA,NA,NA,"Lunch, Dinner",NA,NA
54,The Tropical,8125 E 49th St,74145,162,4.5,East Tulsa,NA,$11-30,Yes,Yes,No,Yes,Yes,NA,Private Lot,No,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,NA,NA,Yes,Vegan; Asian Fusion; Seafood; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,Yes
55,Sobahn,7315 S Memorial Dr,74133,79,3.5,East Tulsa,NA,$11-30,NA,Yes,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Quiet,Full Bar,NA,No,No,Yes,NA,NA,Yes,Japanese; Korean; Asian Fusion; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
56,Keo,3524 S Peoria Ave,74105,93,4,East Tulsa,NA,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Private Lot,Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,No,No,Yes,NA,Yes,Yes,Asian Fusion; Vietnamese; ,NA,NA,Yes,NA,"Lunch, Dinner",Trendy,NA
57,Takahachi Bakery,25 Murray St,10007,779,4,"Civic Center, TriBeCa",A,$11-30,Yes,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,No,Yes,Bakeries; Japanese; Coffee & Tea; ,NA,NA,NA,NA,"Breakfast, Lunch, Dessert",Casual,Yes
58,Chikarashi,227 Canal St,10013,454,4,Nolita,A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,No,NA,No,Free,No,NA,No,Yes,Japanese; Hawaiian; Poke; ,NA,NA,NA,NA,Lunch,"Casual, Trendy",NA
59,Kaede Japanese Restaurant,90 Chambers St,10007,166,3.5,"Civic Center, TriBeCa",A,$11-30,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Quiet,Beer & Wine Only,NA,No,No,Yes,NA,Yes,No,Japanese; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
60,Juku,32 Mulberry St,10013,77,4,"Chinatown, Civic Center",A,$31-60,NA,Yes,No,No,Yes,No,Street,No,Yes,No,Yes,Casual,Average,Full Bar,No,No,Free,No,No,Yes,No,Sushi Bars; Izakaya; Cocktail Bars; ,NA,NA,NA,NA,NA,"Romantic, Upscale",Yes
61,Rabbit House,76 Forsyth St,10002,177,4.5,Lower East Side,A,$11-30,Yes,Yes,No,Yes,Yes,NA,NA,No,No,No,No,Casual,Quiet,Beer & Wine Only,Yes,No,Free,No,NA,No,No,Tapas Bars; Asian Fusion; Izakaya; ,NA,NA,NA,NA,"Brunch, Dinner","Casual, Intimate",Yes
62,19 @ Juku - Omakase,32 Mulberry St,10013,24,4.5,"Chinatown, Civic Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars; Cocktail Bars; Izakaya; ,NA,NA,NA,NA,NA,NA,NA
63,Shigure,277 Church St,10013,87,4,TriBeCa,NA,$31-60,Yes,Yes,No,No,Yes,No,Street,No,No,No,Yes,Casual,Quiet,Full Bar,Yes,No,Free,No,No,Yes,No,Japanese; Cocktail Bars; Tapas Bars; ,NA,NA,NA,NA,"Dinner, Late Night","Casual, Trendy",NA
64,Wasabi Sushi & Bento,200 BroadwayFulton Street Station,10038,107,4,Financial District,A,$11-30,Yes,No,No,Yes,Yes,No,NA,No,Yes,Yes,No,Casual,Average,No,No,Yes,Free,No,No,No,Yes,Japanese; Sushi Bars; ,NA,NA,NA,NA,Lunch,"Casual, Trendy",NA
65,SHOJI at 69 Leonard St,69 Leonard St,10013,31,4.5,TriBeCa,A,Above $61,NA,Yes,No,Yes,Yes,NA,NA,No,NA,No,No,Casual,Quiet,Full Bar,NA,No,No,No,NA,Yes,No,Sushi Bars; Japanese; Seafood; ,NA,NA,NA,NA,Dinner,Classy,Yes
66,Cocoron,37 Kenmare St,10012,577,4,"Nolita, Little Italy",B,$11-30,Yes,No,No,No,No,NA,Street,No,NA,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Japanese; Noodles; Soup; ,NA,NA,Yes,NA,Dinner,Casual,Yes
67,Yakitori Tora,72 Kenmare St,10012,92,4,"Nolita, Little Italy",A,$31-60,Yes,Yes,No,No,Yes,No,NA,Yes,NA,No,No,Casual,Quiet,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Tapas/Small Plates; Japanese; Barbeque; ,NA,NA,NA,NA,Dinner,"Casual, Intimate",Yes
68,Kuu Ramen,20 John St,10038,510,3.5,Financial District,A,$11-30,Yes,No,Yes,Yes,Yes,NA,NA,No,NA,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Ramen; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
69,Gohan-ya,14A Orchard St,10002,40,4.5,"Chinatown, Lower East Side",A,$31-60,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,No,No,NA,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,Yes,Japanese; Gluten-Free; Comfort Food; ,NA,NA,NA,Yes,Dinner,Casual,NA
70,Cocoron,16 Delancey St,10002,928,4,Lower East Side,A,$11-30,Yes,No,No,No,No,No,Street,Yes,NA,No,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,No,NA,Yes,No,Japanese; Noodles; Vegan; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
71,Sakura of Japan,29 John St,10038,116,4,Financial District,A,Under $10,NA,No,Yes,Yes,No,NA,Garage,Yes,NA,Yes,No,NA,Average,No,NA,No,No,No,NA,No,No,Japanese; Food Stands; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
72,Takahachi Tribeca Restaurant,145 Duane St,10013,212,3.5,TriBeCa,A,$31-60,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,NA,No,Sushi Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
73,Sunrise Mart,494 Broome St,10012,261,4,SoHo,NA,$11-30,Yes,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,NA,Yes,Specialty Food; Japanese; ,NA,NA,NA,NA,Lunch,Casual,NA
74,Shinsen,44 Bowery,10013,110,4,Chinatown,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,No,Free,Yes,NA,Yes,NA,Sushi Bars; ,NA,Yes,NA,NA,"Lunch, Dinner","Hipster, Casual, Trendy, Intimate",NA
75,Zutto Japanese American Pub,77 Hudson St,10013,831,4,TriBeCa,A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,Yes,Free,Yes,No,Yes,No,Sushi Bars; Ramen; ,Yes,Yes,Yes,NA,Dinner,Casual,Yes
76,Menya Jiro- Fidi,123 William St,10038,118,4,Financial District,NA,$11-30,Yes,No,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,Yes,No,Ramen; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
77,Tetsu,78 Leonard St,10013,64,3.5,"TriBeCa, Civic Center",A,$11-30,NA,Yes,No,No,Yes,NA,NA,NA,NA,No,Yes,Casual,NA,NA,NA,No,Free,No,NA,NA,NA,Japanese; Sushi Bars; ,NA,NA,NA,NA,NA,NA,NA
78,Go! Go! Curry!,12 John StWorld Trade Center Stadium,10038,329,4,Financial District,A,Under $10,Yes,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,No,No,No,No,Yes,NA,NA,No,Japanese Curry; ,NA,NA,NA,NA,Lunch,Casual,NA
79,Matsunichi,14-18 Elizabeth St32-33,10013,68,4,Chinatown,A,$11-30,NA,Yes,No,Yes,Yes,NA,NA,NA,No,Yes,Yes,Casual,Quiet,No,NA,No,No,Yes,No,Yes,NA,Japanese; Sushi Bars; ,NA,NA,Yes,NA,"Lunch, Dinner","Casual, Trendy",NA
80,Omakasa,56 Spring St,10012,57,4,Nolita,NA,$11-30,Yes,No,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Casual,NA,Beer & Wine Only,Yes,No,Free,No,NA,NA,Yes,Asian Fusion; Japanese; American (New); ,Yes,Yes,Yes,Yes,NA,"Hipster, Casual",Yes
81,Shabushabu Macoron,61 Delancey,10002,44,4.5,Lower East Side,NA,Above $61,Yes,Yes,No,No,Yes,No,Street,Yes,No,No,No,Casual,NA,Beer & Wine Only,NA,No,No,No,No,Yes,No,Japanese; Hot Pot; ,NA,NA,NA,NA,Dinner,NA,Yes
82,Ramen Lab,70 Kenmare St,10012,292,4,"Nolita, Little Italy",A,$11-30,NA,No,No,No,Yes,NA,Street,No,No,No,No,Casual,Average,Beer & Wine Only,NA,No,Free,No,NA,No,No,Ramen; ,NA,NA,NA,NA,Dinner,Casual,Yes
83,Ajisen Ramen,14 Mott St,10013,332,3.5,"Chinatown, Civic Center",A,$11-30,Yes,Yes,No,Yes,Yes,NA,Street,No,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,No,NA,Yes,Ramen; Sushi Bars; Noodles; ,NA,Yes,Yes,NA,"Lunch, Dinner",Casual,NA
84,Suteishi,24 Peck Slip,10038,427,4,"South Street Seaport, Financial District",A,$31-60,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,Yes,No,No,NA,NA,Yes,Japanese; Sushi Bars; ,NA,NA,Yes,NA,Dinner,Trendy,NA
85,Bassanova Ramen,76 Mott St,10013,723,3.5,Chinatown,A,$11-30,Yes,No,No,Yes,Yes,No,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,No,No,NA,No,Ramen; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
86,Benemon,108 E 4th St,10003,434,4.5,East Village,A,$11-30,NA,No,No,No,Yes,No,Street,No,No,No,Yes,Casual,Average,Beer & Wine Only,Yes,No,No,No,No,Yes,No,Japanese; Comfort Food; Tapas/Small Plates; ,NA,NA,NA,NA,Dinner,"Trendy, Intimate",Yes
87,Raku,342 E 6th St,10003,777,4.5,East Village,A,$11-30,Yes,No,Yes,Yes,No,NA,Street,Yes,No,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,No,Yes,No,Japanese; Noodles; ,NA,Yes,Yes,NA,"Lunch, Dinner",Casual,Yes
88,Izakaya,326 E 6th St,10003,231,4,East Village,A,$11-30,NA,Yes,No,Yes,Yes,NA,Street,No,No,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Izakaya; Tapas/Small Plates; Ramen; ,NA,NA,NA,NA,Dinner,Casual,Yes
89,Yakitori Taisho,5 St Marks PlSte 1,10003,1522,3.5,East Village,A,$11-30,NA,No,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Loud,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Sushi Bars; Izakaya; Comfort Food; ,NA,NA,NA,NA,"Dinner, Late Night",Casual,NA
