,Accepts Apple Pay,Accepts Bitcoin,Accepts Credit Cards,Accepts Google Pay,Alcohol,Ambience,Attire,Bike Parking,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Kosher Options,Has Soy-free Options,Has TV,Liked by Vegans,Liked by Vegetarians,Noise Level,Offers Military Discount,Open to All,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,restaurant_name,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,Yes,Yes,NA,NA,Yes,Lunch,Yes,Yes,NA,Yes,NA,NA,NA,NA,No,NA,Yes,Average,NA,NA,No,NA,Yes,No,Yes,NA,Free,Blue Ribbon Sushi Bar - Hudson Eats,124,10281,225 Liberty StHudson Eats
1,No,No,Yes,No,No,"Casual, Trendy",Casual,No,Yes,No,No,NA,Lunch,No,Yes,NA,No,NA,NA,NA,NA,No,NA,Yes,Average,NA,NA,Yes,NA,Yes,No,No,NA,Free,Wasabi Sushi & Bento,107,10038,200 BroadwayFulton Street Station
2,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,No,No,Yes,NA,NA,"Lunch, Dinner",No,No,NA,NA,NA,NA,NA,NA,No,NA,Yes,Average,NA,NA,No,NA,Yes,No,Yes,NA,No,Kuu Ramen,507,10038,20 John St
3,No,NA,Yes,No,No,Casual,Casual,Yes,Yes,No,NA,Yes,"Breakfast, Lunch, Dessert",Yes,Yes,No,NA,NA,NA,NA,NA,No,NA,Yes,Average,NA,NA,No,Street,Yes,No,No,NA,No,Takahachi Bakery,777,10007,25 Murray St
4,No,No,Yes,No,Beer & Wine Only,"Casual, Trendy, Intimate, Classy",Casual,Yes,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Average,NA,NA,No,Street,Yes,Yes,Yes,No,No,Raku,121,10012,48 Macdougal St
5,Yes,NA,Yes,Yes,No,"Casual, Trendy",Casual,No,No,Yes,No,NA,Lunch,No,No,NA,NA,NA,NA,NA,NA,No,NA,NA,Average,NA,NA,No,NA,Yes,No,Yes,No,No,Kome Waza,146,10004,40 Water St
6,NA,NA,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Don Wagyu,15,10004,28 S William St
7,No,NA,Yes,Yes,No,Casual,Casual,Yes,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,NA,NA,No,NA,Yes,Average,NA,NA,No,NA,Yes,No,Yes,Yes,No,Menya Jiro- Fidi,117,10038,123 William St
8,No,NA,Yes,No,No,Casual,Casual,Yes,No,Yes,NA,NA,Lunch,No,Yes,NA,No,NA,NA,NA,NA,Yes,NA,Yes,Average,NA,NA,No,Street,Yes,No,NA,NA,No,Go! Go! Curry!,327,10038,12 John StWorld Trade Center Stadium
9,No,NA,No,No,No,Casual,NA,Yes,No,Yes,NA,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,Average,NA,NA,No,Garage,Yes,No,No,NA,No,Sakura of Japan,116,10038,29 John St
10,NA,NA,Yes,NA,Full Bar,"Trendy, Romantic, Classy, Upscale",Dressy,Yes,NA,No,NA,NA,"Lunch, Dinner, Dessert",Yes,No,NA,No,Yes,NA,NA,NA,No,NA,NA,Average,NA,NA,No,NA,No,Yes,Yes,NA,Free,Nobu Downtown,233,10007,195 Broadway
11,Yes,NA,Yes,NA,Beer & Wine Only,"Casual, Intimate",Casual,No,No,No,NA,Yes,"Brunch, Dinner",No,No,NA,Yes,NA,NA,NA,NA,No,NA,Yes,Quiet,NA,NA,No,NA,Yes,Yes,No,No,Free,Rabbit House,176,10002,76 Forsyth St
12,No,No,Yes,NA,Beer & Wine Only,Intimate,Casual,Yes,Yes,No,No,Yes,Dinner,Yes,No,NA,NA,NA,NA,NA,NA,No,NA,NA,Average,NA,NA,No,Street,No,Yes,Yes,No,No,DOMODOMO,694,10012,140 W Houston St
13,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,Yes,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Quiet,NA,NA,No,NA,Yes,Yes,Yes,NA,No,Kaede Japanese Restaurant,165,10007,90 Chambers St
14,NA,NA,Yes,NA,Beer & Wine Only,"Hipster, Casual",Casual,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,NA,Yes,Yes,No,NA,Yes,No,NA,Yes,Free,Omakasa,55,10012,56 Spring St
15,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,Yes,No,No,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,NA,NA,No,NA,NA,Average,NA,NA,Yes,Street,No,Yes,NA,NA,No,Fukurou,285,10012,87 MacDougal St
16,No,No,Yes,No,Full Bar,Casual,Casual,Yes,Yes,Yes,No,Yes,Dinner,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,Average,Yes,Yes,No,"Garage, Street",Yes,Yes,Yes,Yes,Free,Teppan Bar & Grill,491,07302,319 Warren St
17,No,NA,Yes,No,Full Bar,"Casual, Trendy",Casual,Yes,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Average,NA,NA,Yes,Street,Yes,Yes,Yes,Yes,No,Honshu,227,07302,95 Greene St
18,NA,NA,Yes,NA,Beer & Wine Only,"Hipster, Casual, Trendy, Intimate",Casual,NA,NA,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,NA,NA,Average,NA,NA,No,NA,Yes,Yes,Yes,Yes,Free,Shinsen,107,10013,44 Bowery
19,No,NA,No,No,Beer & Wine Only,Casual,Casual,No,No,No,NA,Yes,Dinner,No,No,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Average,NA,NA,No,Street,No,No,Yes,NA,No,Cocoron,574,10012,37 Kenmare St
20,No,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,NA,No,No,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,Quiet,NA,NA,No,NA,Yes,Yes,Yes,No,No,Matsunichi,68,10013,14-18 Elizabeth St32-33
21,No,No,Yes,NA,No,Casual,Casual,Yes,No,Yes,No,Yes,Dinner,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Average,NA,Yes,Yes,Street,Yes,Yes,Yes,NA,Free,Zutto Japanese American Pub,830,10013,77 Hudson St
22,No,NA,Yes,NA,Beer & Wine Only,"Classy, Upscale",Casual,Yes,Yes,No,NA,NA,Dinner,No,No,NA,NA,NA,NA,NA,NA,No,NA,NA,Quiet,NA,NA,No,Street,No,Yes,NA,NA,No,Hirohisa,131,10012,73 Thompson St
