,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address,Source
0,,Yes,Beer & Wine Only,,,Yes,Chinese; Noodles; ,Yes,Yes,,,,No,Yes,Yes,,,,Yes,A,,,,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Dun Huang,Morningside Heights,4.0,37.0,10027.0,1268 Amsterdam Ave,Morningside Height
1,,Yes,Beer & Wine Only,Casual,Casual,Yes,American (New); Cafes; Breakfast & Brunch; ,No,Yes,,Yes,"Brunch, Lunch",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,,Free,$11-30,Flat Top,Morningside Heights,4.0,399.0,10027.0,1241 Amsterdam Ave,Morningside Height
2,No,Yes,No,Casual,Casual,Yes,American (New); ,Yes,No,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,No,No,No,$11-30,Dig Inn,Morningside Heights,4.0,279.0,10025.0,2884 Broadway,Morningside Height
3,No,Yes,Beer & Wine Only,,,No,Sushi Bars; ,Yes,Yes,No,,,,,No,,,,No,,,,,No,,Yes,Yes,Yes,Yes,Free,,Kikoo Sushi,Manhattan Valley,4.5,4.0,10025.0,998 Columbus Ave,Morningside Height
4,,No,Beer & Wine Only,Casual,Casual,Yes,Italian; ,No,Yes,,,Dinner,Yes,No,,,,,No,B,,,Average,Yes,Street,Yes,No,Yes,,No,$11-30,Max Soha,Morningside Heights,4.0,384.0,10027.0,1274 Amsterdam Ave,Morningside Height
5,No,Yes,Full Bar,Casual,Casual,No,American (Traditional); Breakfast & Brunch; ,No,Yes,,Yes,"Brunch, Lunch",Yes,Yes,,,Yes,,No,A,,,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,Friedman??탑,Morningside Heights,3.5,278.0,10027.0,1187 Amsterdam Ave,Morningside Height
6,No,Yes,Full Bar,"Casual, Intimate",Casual,Yes,Ethiopian; African; Bars; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,,,,Yes,A,,,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Massawa,Morningside Heights,4.0,247.0,10027.0,1239 Amsterdam Ave,Morningside Height
7,,Yes,Full Bar,,Casual,,Bars; American (Traditional); ,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Average,Yes,,Yes,No,,,,,e??탑 BAR,Morningside Heights,4.0,6.0,10025.0,2888 Broadway,Morningside Height
8,,,,,,,Bars; Tapas/Small Plates; Pizza; ,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Bar314,Morningside Heights,5.0,8.0,10027.0,1260 Amsterdam Ave,Morningside Height
9,,Yes,Beer & Wine Only,Casual,Casual,Yes,Korean; ,No,Yes,,Yes,Dinner,Yes,Yes,,,,,No,A,,,Average,Yes,Street,Yes,No,,,No,$11-30,Mill Korean,Morningside Heights,3.0,302.0,10025.0,2895 Broadway,Morningside Height
10,No,Yes,Full Bar,Casual,Casual,No,Seafood; Bars; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,Yes,,Yes,,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,No,No,Paid,$11-30,Lolo??탑 Seafood Shack,Harlem,4.0,571.0,10026.0,303 W 116th St,Morningside Height
11,,Yes,Full Bar,Casual,Casual,Yes,Thai; Noodles; Soup; ,Yes,Yes,No,,"Lunch, Dinner",Yes,Yes,,Yes,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,No,$11-30,Thai Market,Manhattan Valley,4.0,904.0,10025.0,960 Amsterdam Ave,Morningside Height
12,,,,,,,Food Trucks; Barbeque; Korean; ,,,,,,,,,,,,,,,,,,,,,,,,,KALBI,Morningside Heights,4.5,3.0,10026.0,117TH ST & BROADWAY,Morningside Height
13,,Yes,Full Bar,Casual,Casual,Yes,Cajun/Creole; Seafood; ,Yes,Yes,No,,"Lunch, Dinner",Yes,Yes,Yes,,,,Yes,C,,,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Shaking Crab - Upper West Side,Morningside Heights,3.5,221.0,10025.0,2869 Broadway,Morningside Height
14,,Yes,No,Casual,Casual,Yes,Vietnamese; ,Yes,Yes,,,"Lunch, Dinner",No,Yes,,,,,No,A,Yes,Yes,Average,No,Street,Yes,No,No,,No,$11-30,Saiguette,Manhattan Valley,4.5,514.0,10025.0,935 Columbus Ave,Morningside Height
15,No,Yes,No,"Casual, Trendy",Casual,No,Chinese; Noodles; Asian Fusion; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,,,,No,A,,,Average,Yes,Street,Yes,No,No,Yes,Free,$11-30,Junzi Kitchen,Morningside Heights,4.0,131.0,10025.0,2896 Broadway,Morningside Height
16,,Yes,Full Bar,Romantic,Casual,Yes,Italian; Breakfast & Brunch; ,Yes,Yes,,Yes,Dinner,Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Pisticci,Harlem,4.0,755.0,10027.0,125 La Salle St,Morningside Height
17,,Yes,Full Bar,Casual,Casual,Yes,Italian; ,Yes,Yes,,,"Brunch, Dinner",Yes,Yes,Yes,,,,Yes,A,,,Average,No,Street,Yes,Yes,Yes,,Free,$11-30,Tartina,Morningside Heights,4.0,234.0,10025.0,1034 Amsterdam Ave,Morningside Height
18,,Yes,Beer & Wine Only,,Casual,,Cafes; Coffee & Tea; Tabletop Games; ,No,No,,Yes,,Yes,Yes,,,,,No,A,,,Average,No,,No,Yes,No,,Free,Under $10,Hex & Company,Morningside Heights,4.5,31.0,10025.0,2871 Broadway,Morningside Height
19,,No,No,,Casual,Yes,Food Trucks; Chinese; ,No,No,,,,No,Yes,,,,,No,,,,Loud,No,Street,Yes,No,,,No,Under $10,Uncle Luoyang,Morningside Heights,3.5,30.0,10027.0,3010 Broadway,Morningside Height
20,,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mediterranean; Pizza; Venues & Event Spaces; ,Yes,,,Yes,"Lunch, Dinner",Yes,Yes,Yes,,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Marlow Bistro,Manhattan Valley,4.0,223.0,10025.0,1018 Amsterdam Ave,Morningside Height
21,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Ramen; ,No,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,Yes,Yes,Average,No,Street,Yes,No,,,No,$11-30,Jin Ramen - West Harlem,Harlem,4.0,977.0,10027.0,3183 Broadway,Morningside Height
22,,Yes,Full Bar,Casual,Casual,Yes,Burgers; ,No,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,Yes,Loud,Yes,Street,Yes,Yes,Yes,,No,$11-30,Mel??탑 Burger Bar,Morningside Heights,3.5,669.0,10025.0,2850 Broadway,Morningside Height
23,,Yes,Beer & Wine Only,Casual,Casual,Yes,Southern; Soul Food; ,Yes,No,No,Yes,"Brunch, Lunch, Dinner",Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,,,No,$11-30,Amy Ruth??탑,Harlem,4.0,2322.0,10026.0,113 W 116th St,Morningside Height
24,No,Yes,No,Casual,Casual,No,Hot Pot; Chinese; ,No,No,No,,,Yes,Yes,,,,,Yes,A,,,Average,No,Street,No,Yes,Yes,Yes,Free,$11-30,Red Hot Hot Pot,Manhattan Valley,4.0,50.0,10025.0,1000 Columbus Ave,Morningside Height
25,,Yes,Full Bar,Casual,Casual,Yes,American (New); Breakfast & Brunch; Bars; ,No,No,,Yes,Brunch,Yes,Yes,No,,Yes,,No,A,Yes,Yes,Average,Yes,Street,Yes,No,Yes,,No,$11-30,Community Food & Juice,Morningside Heights,3.5,844.0,10025.0,2893 Broadway,Morningside Height
26,No,Yes,Full Bar,,Dressy,No,French; Wine Bars; ,No,Yes,No,,,Yes,No,Yes,,Yes,Yes,No,C,,,,Yes,,Yes,Yes,Yes,No,No,$31-60,Amelie,Upper West Side,4.5,91.0,10024.0,566 Amsterdam Ave,Morningside Height
27,,Yes,,,,,Chinese; ,,Yes,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Free,,Atlas Kitchen,Manhattan Valley,4.0,28.0,10025.0,258 W 109th St,Morningside Height
28,No,Yes,Beer & Wine Only,,,Yes,American (New); Beer Bar; ,No,No,No,Yes,,,,No,,,,Yes,,,,,No,Street,Yes,No,Yes,Yes,Free,,Harlem Ale House,Harlem,5.0,14.0,10027.0,101 W 127th St,Morningside Height
30,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Vegan; Soul Food; Kosher; ,Yes,Yes,No,Yes,"Dinner, Dessert",Yes,Yes,,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Seasoned Vegan,Harlem,4.0,904.0,10026.0,55 St Nicholas Ave,Morningside Height
31,No,Yes,No,"Casual, Trendy",Casual,Yes,Vietnamese; Thai; ,Yes,No,No,,"Lunch, Dinner",Yes,Yes,No,,,,No,,Yes,Yes,Average,Yes,Private Lot,Yes,Yes,Yes,Yes,No,$11-30,SEAK,,4.0,266.0,7020.0,725 River RdUnit 30,Morningside Height
33,,Yes,Full Bar,Casual,Casual,Yes,Italian; Breakfast & Brunch; Cocktail Bars; ,No,No,,Yes,Brunch,Yes,Yes,Yes,,,,Yes,A,,Yes,Average,Yes,"Garage, Street",Yes,Yes,,,Free,$11-30,Lido,Harlem,4.0,865.0,10026.0,2168 Frederick Douglass Blvd,Morningside Height
34,,Yes,No,Casual,Casual,Yes,Salad; Vegetarian; ,No,No,,Yes,Lunch,No,Yes,,,,,No,A,,Yes,Loud,No,,Yes,No,No,,Free,$11-30,sweetgreen,Morningside Heights,3.0,152.0,10025.0,2937 Broadway,Morningside Height
35,,Yes,Beer & Wine Only,Casual,,Yes,Korean; Chicken Wings; ,Yes,Yes,No,Yes,"Lunch, Dinner",No,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,Koko Wings,Manhattan Valley,3.5,272.0,10025.0,248 W 106th St,Morningside Height
36,,Yes,Full Bar,Casual,Casual,Yes,Pizza; Italian; ,Yes,Yes,,,Dinner,Yes,Yes,Yes,,,,Yes,A,,,Average,No,Street,Yes,Yes,,,Free,$11-30,Bettolona,Harlem,4.0,275.0,10027.0,3143 Broadway,Morningside Height
37,,Yes,No,,Casual,,Chinese; ,Yes,Yes,,,,Yes,Yes,,,,,No,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Free,$11-30,River House Chinese Cuisine,,4.0,58.0,7020.0,725 River Rd,Morningside Height
38,,Yes,Beer & Wine Only,Casual,Casual,Yes,Malaysian; ,No,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Malaysia Grill,Manhattan Valley,4.0,260.0,10024.0,224 W 104th St,Morningside Height
39,No,Yes,No,,,Yes,Tapas/Small Plates; Mediterranean; ,Yes,Yes,Yes,,,,,,,,,No,,,,,Yes,Street,Yes,Yes,Yes,,Free,,Meyhane,,4.5,11.0,7010.0,671 Palisade Ave,Morningside Height
40,,Yes,Beer & Wine Only,Casual,Casual,Yes,American (Traditional); Soul Food; Breakfast & Brunch; ,No,No,,Yes,"Brunch, Dinner",Yes,Yes,,,,,No,A,,,Average,Yes,Street,Yes,Yes,,,No,$11-30,BLVD Bistro,Harlem,4.0,626.0,10027.0,239 Lenox Ave,Morningside Height
41,,Yes,Full Bar,"Trendy, Intimate, Romantic, Classy",Casual,No,Bars; New Mexican Cuisine; Tapas Bars; ,No,No,No,Yes,Dinner,Yes,No,Yes,,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,La Diagonal,Harlem,4.0,141.0,10026.0,185 St Nicholas Ave,Morningside Height
42,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Korean; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Mokja,Manhattan Valley,4.0,118.0,10025.0,852 Amsterdam,Morningside Height
43,,Yes,,,,,Poke; Sushi Bars; ,,No,,,,Yes,Yes,,,,,Yes,A,Yes,Yes,,No,,Yes,No,,,Free,$11-30,Hula Poke,Morningside Heights,4.0,35.0,10025.0,1028 Amsterdam Ave,Morningside Height
44,,No,No,Casual,Casual,Yes,Pizza; ,No,Yes,,,"Lunch, Late Night",Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,No,,No,Under $10,Koronet Pizza,Morningside Heights,3.5,583.0,10025.0,2848 Broadway,Morningside Height
45,,Yes,Full Bar,"Intimate, Romantic",Casual,Yes,French; ,Yes,No,,Yes,Dinner,Yes,No,,,,,No,,Yes,Yes,Average,Yes,Street,No,Yes,Yes,No,No,$31-60,Tastings Social Presents Mountain Bird,East Harlem,4.5,136.0,10029.0,251 E 110th St,Morningside Height
46,No,Yes,Full Bar,Casual,Casual,Yes,Ethiopian; ,Yes,Yes,,Yes,Dinner,Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Awash Ethiopian Restaurant,Manhattan Valley,4.0,428.0,10025.0,947 Amsterdam Ave,Morningside Height
47,,Yes,No,Casual,,Yes,Cafeteria; Burgers; Breakfast & Brunch; ,Yes,No,,Yes,,Yes,Yes,,,,,Yes,,,,Loud,No,,Yes,No,No,,Free,$11-30,JJ??탑 Place,Morningside Heights,5.0,4.0,10027.0,511 W 114th St,Morningside Height
