,Accepts Apple Pay,Accepts Bitcoin,Accepts Credit Cards,Accepts Google Pay,Alcohol,Ambience,Attire,Best Nights,Bike Parking,Caters,Coat Check,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Kosher Options,Has Pool Table,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Offers Military Discount,Open to All,Outdoor Seating,Parking,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
68,No,No,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,Yes,NA,NA,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,Yes,Loud,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Kotobuki Manhattan,4.0,531,10003,56 3rd Ave
69,No,No,Yes,No,Full Bar,Casual,Casual,NA,No,No,NA,No,NA,Yes,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Village Yokocho,3.5,721,10003,8 Stuyvesant St
70,NA,NA,Yes,NA,Beer & Wine Only,"Casual, Intimate",Casual,NA,No,No,NA,No,NA,Yes,Late Night,NA,Yes,No,NA,Yes,NA,NA,NA,No,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Sake Bar Satsko,4.0,143,10009,202 E 7th St
71,No,No,Yes,No,No,NA,NA,NA,No,No,NA,Yes,No,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,NA,NA,NA,No,Street,NA,Yes,No,No,Yes,Free,Under $10,Resobox  East Village,5.0,5,10003,91 E 3rd St
72,NA,NA,Yes,NA,Full Bar,NA,Casual,"Thu, Fri, Sat",Yes,No,NA,No,NA,Yes,Late Night,No,Yes,No,NA,No,NA,NA,NA,No,NA,No,A,NA,NA,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Sake Bar Decibel,4.0,907,10003,240 E 9th St
73,No,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,Yes,No,NA,No,Yes,NA,"Lunch, Dinner",NA,No,Yes,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,NA,NA,Yes,No,No,No,Free,$11-30,TongKatsu,5.0,164,10002,137 Rivington St
74,No,NA,Yes,NA,Beer & Wine Only,Intimate,Casual,NA,Yes,No,NA,No,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,Yes,No,Street,NA,No,Yes,Yes,No,No,$31-60,Yopparai,4.5,194,10002,151 Rivington StFl 1
75,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,No,NA,No,No,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,No,No,Yes,No,No,$11-30,Zundo-Ya,4.0,650,10003,84 E 10th St
76,No,No,Yes,No,Full Bar,Trendy,Casual,NA,No,No,NA,No,No,NA,"Lunch, Dinner",NA,Yes,Yes,NA,No,Yes,Yes,NA,NA,Yes,No,A,Yes,Yes,Loud,NA,NA,No,Street,NA,No,No,Yes,Yes,No,$11-30,Ippudo NY,4.0,9576,10003,65 4th Ave
77,No,NA,Yes,NA,Beer & Wine Only,NA,Casual,NA,No,No,NA,No,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,NA,No,Above $61,Cagen Japan Restaurant,4.0,167,10009,414 E 9th St
78,No,No,Yes,No,Beer & Wine Only,"Hipster, Casual, Trendy",Casual,"Tue, Sat",No,No,No,Yes,No,NA,Dinner,No,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,Yes,NA,NA,NA,No,"Garage, Street",No,Yes,Yes,Yes,Yes,No,$11-30,Izakaya Juraku,4.5,40,10002,121 Ludlow St
79,NA,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,Yes,No,NA,Yes,No,Yes,NA,NA,No,No,NA,No,Yes,Yes,NA,NA,Yes,No,A,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,Yes,Free,$11-30,Umami Sushi,4.5,49,10011,50 Greenwich Ave
80,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,NA,NA,Free,$31-60,Yuba,4.0,348,10003,105 E 9th St
81,No,NA,No,No,No,Casual,Casual,NA,No,No,NA,No,NA,NA,Lunch,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,No,NA,No,Under $10,Otafuku,3.5,467,10003,220 E 9th St
82,NA,No,Yes,NA,Beer & Wine Only,NA,Casual,NA,No,No,NA,No,No,NA,NA,NA,Yes,Yes,NA,No,NA,NA,NA,NA,NA,No,NA,Yes,Yes,Average,NA,NA,No,NA,NA,No,No,NA,No,No,$11-30,Menkoi Sato,4.5,81,10014,7 Cornelia St
83,No,No,Yes,No,Full Bar,Casual,Casual,NA,Yes,No,NA,No,No,NA,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,NA,Loud,NA,NA,Yes,Street,NA,Yes,No,Yes,NA,No,$11-30,Oh Taisho,3.5,936,10003,9 Saint Marks Pl
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Ramen Mafia,4.5,29,11222,208 Franklin St
85,NA,NA,Yes,NA,No,NA,Casual,NA,No,Yes,NA,Yes,NA,NA,"Lunch, Dinner",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,No,Yes,Free,$11-30,New Mizu Sushi,4.5,104,10003,350 E 9th St
86,NA,No,Yes,NA,Full Bar,"Casual, Trendy",Casual,NA,No,No,NA,Yes,No,Yes,Dinner,NA,Yes,No,NA,NA,Yes,Yes,NA,NA,Yes,No,NA,NA,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,No,No,$11-30,nonono,4.0,197,10016,118 Madison Ave
87,No,No,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,Yes,NA,NA,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,Yes,Loud,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Kotobuki Manhattan,4.0,531,10003,56 3rd Ave
88,No,No,Yes,No,Full Bar,Casual,Casual,NA,No,No,NA,No,NA,Yes,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Village Yokocho,3.5,721,10003,8 Stuyvesant St
89,NA,NA,Yes,NA,Beer & Wine Only,"Casual, Intimate",Casual,NA,No,No,NA,No,NA,Yes,Late Night,NA,Yes,No,NA,Yes,NA,NA,NA,No,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Sake Bar Satsko,4.0,143,10009,202 E 7th St
90,No,No,Yes,No,No,NA,NA,NA,No,No,NA,Yes,No,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,NA,NA,NA,No,Street,NA,Yes,No,No,Yes,Free,Under $10,Resobox  East Village,5.0,5,10003,91 E 3rd St
91,NA,NA,Yes,NA,Full Bar,NA,Casual,"Thu, Fri, Sat",Yes,No,NA,No,NA,Yes,Late Night,No,Yes,No,NA,No,NA,NA,NA,No,NA,No,A,NA,NA,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Sake Bar Decibel,4.0,907,10003,240 E 9th St
92,No,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,Yes,No,NA,No,Yes,NA,"Lunch, Dinner",NA,No,Yes,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,NA,NA,Yes,No,No,No,Free,$11-30,TongKatsu,5.0,164,10002,137 Rivington St
93,No,NA,Yes,NA,Beer & Wine Only,Intimate,Casual,NA,Yes,No,NA,No,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,Yes,No,Street,NA,No,Yes,Yes,No,No,$31-60,Yopparai,4.5,194,10002,151 Rivington StFl 1
94,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,No,NA,No,No,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,No,No,Yes,No,No,$11-30,Zundo-Ya,4.0,650,10003,84 E 10th St
95,No,No,Yes,No,Full Bar,Trendy,Casual,NA,No,No,NA,No,No,NA,"Lunch, Dinner",NA,Yes,Yes,NA,No,Yes,Yes,NA,NA,Yes,No,A,Yes,Yes,Loud,NA,NA,No,Street,NA,No,No,Yes,Yes,No,$11-30,Ippudo NY,4.0,9576,10003,65 4th Ave
96,No,NA,Yes,NA,Beer & Wine Only,NA,Casual,NA,No,No,NA,No,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,NA,No,Above $61,Cagen Japan Restaurant,4.0,167,10009,414 E 9th St
97,No,No,Yes,No,Beer & Wine Only,"Hipster, Casual, Trendy",Casual,"Tue, Sat",No,No,No,Yes,No,NA,Dinner,No,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,Yes,NA,NA,NA,No,"Garage, Street",No,Yes,Yes,Yes,Yes,No,$11-30,Izakaya Juraku,4.5,40,10002,121 Ludlow St
98,NA,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,Yes,No,NA,Yes,No,Yes,NA,NA,No,No,NA,No,Yes,Yes,NA,NA,Yes,No,A,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,Yes,Free,$11-30,Umami Sushi,4.5,49,10011,50 Greenwich Ave
99,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,NA,NA,Free,$31-60,Yuba,4.0,348,10003,105 E 9th St
100,No,NA,No,No,No,Casual,Casual,NA,No,No,NA,No,NA,NA,Lunch,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,No,NA,No,Under $10,Otafuku,3.5,467,10003,220 E 9th St
101,NA,No,Yes,NA,Beer & Wine Only,NA,Casual,NA,No,No,NA,No,No,NA,NA,NA,Yes,Yes,NA,No,NA,NA,NA,NA,NA,No,NA,Yes,Yes,Average,NA,NA,No,NA,NA,No,No,NA,No,No,$11-30,Menkoi Sato,4.5,81,10014,7 Cornelia St
102,No,No,Yes,No,Full Bar,Casual,Casual,NA,Yes,No,NA,No,No,NA,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,NA,Loud,NA,NA,Yes,Street,NA,Yes,No,Yes,NA,No,$11-30,Oh Taisho,3.5,936,10003,9 Saint Marks Pl
103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Ramen Mafia,4.5,29,11222,208 Franklin St
104,NA,NA,Yes,NA,No,NA,Casual,NA,No,Yes,NA,Yes,NA,NA,"Lunch, Dinner",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,No,Yes,Free,$11-30,New Mizu Sushi,4.5,104,10003,350 E 9th St
105,NA,No,Yes,NA,Full Bar,"Casual, Trendy",Casual,NA,No,No,NA,Yes,No,Yes,Dinner,NA,Yes,No,NA,NA,Yes,Yes,NA,NA,Yes,No,NA,NA,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,No,No,$11-30,nonono,4.0,197,10016,118 Madison Ave
106,No,NA,Yes,No,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,NA,NA,No,$31-60,Gyu-Kaku Japanese BBQ,4.0,1561,10003,34 Cooper Sq
107,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,No,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,No,C,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,NA,No,$11-30,Zen 6,4.0,526,10003,328 E 6th St
108,No,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,No,No,Yes,NA,Yes,Dinner,No,Yes,No,NA,Yes,Yes,NA,NA,No,NA,Yes,A,Yes,Yes,Average,NA,Yes,No,Street,No,Yes,Yes,Yes,Yes,No,$11-30,Azasu,4.0,107,10002,49 Clinton St
109,No,NA,No,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,Yes,"Dinner, Late Night",NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,No,NA,No,No,Under $10,Udon West,3.5,795,10003,11 St Marks Pl
110,No,NA,Yes,No,Full Bar,Intimate,Casual,"Fri, Sat",No,No,NA,No,No,Yes,Dinner,No,No,No,NA,No,NA,NA,NA,No,NA,No,B,NA,Yes,Quiet,NA,NA,No,Street,No,No,Yes,Yes,Yes,No,$31-60,Bohemian Restaurant,4.5,689,10012,57 Great Jones St
111,No,NA,Yes,NA,Beer & Wine Only,"Trendy, Intimate",Casual,NA,Yes,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,No,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,Yes,Street,NA,Yes,Yes,Yes,Yes,No,$11-30,Bessou,4.0,171,10012,5 Bleecker St
112,No,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,Yes,Late Night,NA,Yes,No,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,212 Hisae’s,4.0,231,10003,212 E 9th St
113,No,No,Yes,NA,No,"Hipster, Casual, Trendy",Casual,NA,Yes,No,NA,Yes,No,NA,Dinner,NA,Yes,Yes,NA,No,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,No,Yes,Yes,No,$11-30,Tatsu Ramen,4.5,155,10003,167 1st Ave
114,No,No,Yes,NA,Full Bar,"Trendy, Intimate",Casual,"Wed, Thu, Sat",No,No,No,No,No,Yes,"Dinner, Late Night",No,No,No,NA,No,NA,NA,NA,No,NA,No,A,NA,NA,Average,NA,NA,No,Street,No,No,No,Yes,NA,No,$11-30,Bar Goto,4.5,180,10002,245 Eldridge St
115,NA,NA,Yes,NA,Beer & Wine Only,NA,NA,NA,Yes,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,No,No,NA,Ume Williamsburg,4.5,56,11249,237 Kent Ave
116,NA,NA,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,Yes,NA,NA,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,NA,No,$11-30,Sushi Yasaka,4.0,1581,10023,251 W 72nd St
117,No,NA,Yes,NA,Full Bar,Trendy,Casual,NA,Yes,Yes,NA,Yes,NA,NA,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,Yes,Street,NA,Yes,No,NA,NA,No,$31-60,Momoya,4.0,391,10024,427 Amsterdam Ave
118,Yes,NA,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,Yes,NA,NA,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Quiet,NA,NA,No,Street,NA,Yes,Yes,NA,NA,No,$11-30,Raku - It’s Japanese II,4.0,266,10023,57 W 76th St
119,No,No,Yes,No,Full Bar,"Casual, Trendy",Casual,NA,Yes,No,NA,Yes,No,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,Yes,No,$11-30,Izakaya ida,3.5,129,10023,141 W 72nd St
120,NA,No,Yes,NA,Beer & Wine Only,Casual,Casual,NA,No,No,NA,Yes,No,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Valet,NA,Yes,Yes,Yes,Yes,Free,$11-30,MIMI,4.5,79,10024,566 Amsterdam AveFl 1
121,No,NA,Yes,No,Full Bar,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,NA,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,Yes,No,$11-30,Mido,4.0,161,10024,612 Amsterdam AveBet. West 89 St and West 90 St
122,No,No,Yes,No,Beer & Wine Only,Intimate,Casual,NA,No,No,NA,No,No,Yes,Dinner,NA,No,No,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,Yes,Yes,No,Above $61,Sushi Kaito,4.5,121,10023,244 W 72nd St
123,No,NA,Yes,No,Full Bar,Casual,Casual,NA,Yes,No,NA,Yes,NA,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,Yes,Loud,NA,NA,Yes,Street,NA,Yes,Yes,Yes,Yes,No,$11-30,Jin Ramen,4.0,715,10024,462 Amsterdam Ave
124,No,No,Yes,No,Beer & Wine Only,Casual,Casual,"Mon, Tue, Sat",No,No,No,No,No,NA,"Lunch, Dinner",No,Yes,Yes,NA,Yes,NA,NA,NA,No,NA,No,A,NA,Yes,Average,NA,NA,No,Street,No,Yes,No,Yes,Yes,No,$11-30,Zurutto Ramen & Gyoza Bar,4.0,291,10023,142 W 72nd St
125,No,NA,Yes,NA,Full Bar,Trendy,Casual,NA,Yes,Yes,NA,Yes,NA,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,B,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,NA,No,$11-30,Flame,4.0,291,10024,100 W 82nd St
126,NA,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,NA,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,Yes,NA,NA,Yes,No,NA,NA,No,$11-30,Kouzan Japanese Restaurant,3.5,203,10025,685 Amsterdam Ave
127,NA,No,Yes,NA,Full Bar,"Casual, Romantic",Casual,NA,No,Yes,NA,Yes,No,NA,Lunch,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,Average,NA,NA,Yes,Street,NA,Yes,No,Yes,No,Free,$11-30,Amber,4.0,78,10023,103 W 70th St
128,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,Yes,NA,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,B,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,NA,NA,No,$11-30,Tenzan,3.5,418,10023,285 Columbus Ave
129,NA,NA,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,Yes,Free,$11-30,Matsu,3.5,96,10024,483 Columbus Ave
130,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,NA,Average,NA,NA,No,Street,NA,No,Yes,NA,NA,No,$31-60,Yakitori Totto,4.0,1219,10019,251 W 55th StFl 2
131,Yes,NA,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,NA,Dinner,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,Yes,Street,NA,Yes,Yes,NA,NA,No,$11-30,Haru Sushi,3.5,206,10024,433 Amsterdam Ave
132,No,NA,Yes,No,Beer & Wine Only,NA,Casual,NA,No,Yes,NA,Yes,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,Yes,Street,NA,Yes,Yes,NA,NA,No,Above $61,Gari Columbus,4.0,314,10024,370 Columbus Ave
133,NA,No,Yes,NA,Beer & Wine Only,NA,NA,NA,No,Yes,NA,Yes,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,Yes,Yes,Yes,Free,NA,Kikoo Sushi,4.5,5,10025,998 Columbus Ave
134,NA,No,Yes,NA,Beer & Wine Only,NA,NA,NA,No,No,No,No,NA,NA,NA,No,No,Yes,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,No,Street,NA,Yes,No,Yes,Yes,No,NA,Ikinari Steak Lexington Ave,4.0,27,10021,1007 Lexington Ave
135,No,NA,Yes,NA,Full Bar,NA,Casual,NA,Yes,Yes,NA,Yes,No,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA,NA,NA,No,NA,NA,Yes,Yes,Yes,Yes,No,NA,Dai Hachi Sushi,4.5,17,11101,46-18 Vernon Blvd
136,NA,NA,Yes,NA,Beer & Wine Only,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,No,NA,?? ??,4.5,38,10075,181 E 78th St
137,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,NA,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,NA,NA,No,$11-30,Miyako Sushi,3.5,198,10025,642 Amsterdam Ave
138,Yes,NA,Yes,NA,Beer & Wine Only,NA,NA,NA,No,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No,No,"Garage, Street",NA,Yes,Yes,Yes,Yes,Free,Above $61,Sushi Ryusei,4.5,38,10016,216 E 39th St
